threshold,recall,uncorrected_precision,precision,specificity
0.8200000000000001,0.44370860927152317,0.777262180974478,0.38645453925540635,1.0
0.8250000000000001,0.4384105960264901,0.7806603773584906,0.3911445780520698,1.0
0.8300000000000001,0.433112582781457,0.7804295942720764,0.39082376775411976,1.0
0.835,0.42649006622516555,0.7892156862745098,0.4032796795271742,1.0
0.84,0.42251655629139073,0.7955112219451371,0.4125216736684903,1.0
0.845,0.4185430463576159,0.8061224489795918,0.42873514647221184,1.0
0.85,0.4119205298013245,0.8098958333333334,0.43470280970487507,1.0
0.855,0.40397350993377484,0.8090185676392573,0.4333056302830049,1.0
0.86,0.39602649006622515,0.8305555555555556,0.46942500721629044,1.0
0.865,0.3894039735099338,0.8424068767908309,0.49105698364191913,1.0
0.87,0.3827814569536424,0.8550295857988166,0.515640876997614,1.0
0.875,0.3748344370860927,0.8654434250764526,0.5372396121529928,1.0
0.88,0.3708609271523179,0.8695652173913043,0.5461427140153637,1.0
0.885,0.3655629139072848,0.8789808917197452,0.5672873891447292,1.0
0.89,0.3576158940397351,0.8970099667774086,0.6112126245847195,1.0
0.895,0.3443708609271523,0.9090909090909091,0.6434942287513097,1.0
0.9,0.32980132450331123,0.9222222222222223,0.6815508370462844,1.0
0.905,0.32450331125827814,0.928030303030303,0.6994745081151564,1.0
0.91,0.3165562913907285,0.93359375,0.71732430193675,1.0
0.915,0.3019867549668874,0.9344262295081968,0.7200550002317414,1.0
0.92,0.2900662251655629,0.9521739130434783,0.782305733096256,1.0
0.925,0.280794701986755,0.954954954954955,0.7928151526978221,1.0
0.93,0.2662251655629139,0.9617224880382775,0.8193338684188265,1.0
0.935,0.25165562913907286,0.9595959595959596,0.8108526592320717,1.0
0.9400000000000001,0.2370860927152318,0.9728260869565217,0.8659861114672089,1.0
0.9450000000000001,0.22649006622516557,0.9771428571428571,0.8852736148308505,1.0
0.9500000000000001,0.2052980132450331,0.9748427672955975,0.8749122706092115,1.0
0.9550000000000001,0.18543046357615894,0.9790209790209791,0.8938806319789606,1.0
0.96,0.1629139072847682,0.9761904761904762,0.8809596804568817,1.0
0.965,0.14834437086092717,0.9824561403508771,0.9099749599226353,1.0
0.97,0.1205298013245033,0.9891304347826086,0.9426129477689199,1.0
0.975,0.10066225165562914,0.987012987012987,0.9320561149496607,1.0
0.98,0.06622516556291391,0.9803921568627451,0.9002495596007133,1.0
0.985,0.03576158940397351,1.0,1.0,1.0
0.99,0.013245033112582781,1.0,1.0,1.0
